yiddish,transliteration
זמרל,zemerl
זעברע,zebre
זעג,zeg
זעגן,zegn
זעהר,zehr
זעכציק,zekhtsik
זעכציקסט,zekhtsikst
זעכציקסטל,zekhtsikstl
זעכצן,zekhtsn
זעכצנט,zekhtsnt
זעכצנטל,zekhtsntl
זעלב,zelb
זעלביק,zelbik
זעליג,Zelig
זעלנער,zelner
זעלצערוואַסער,zeltservaser
זעמל,zeml
זען,zen
זענעפֿט,zeneft
זעצן,zetsn
זעקל,zekl
זעקס,zeks
זעקסט,zekst
זעקסטל,zekstl
זעקסטנס,zekstns
זקן,zokn
זשאַבע,zhabe
זשאַלעװען,zhaleven
זשאַרגאָן,zhargon
זשוק,zhuk
זשורנאַל,zhurnal
זשורנאַליזם,zhurnalizm
זשורנאַליסט,zhurnalist
זשורנאַליסטיק,zhurnalistik
זשורנאַליסטיש,zhurnalistish
זשיד,zhid
זשיוועצע,zhivetse
זשיטאָמיר,zhitomir
זשלאָב,zhlob
זשמעניע,zhmenye
זשע,zhe
זשעדנע,zhedne
זשענעווע,zheneve
זײַ געזונט,zay gezunt
זײַד,zayd
זײַדן,zaydn
זײַט,zayt
זײַן,zayn
חבֿר,khaver
חבֿרה,khevre
חבֿרה־מאַן,khevreman
חבֿרהשאַפֿט,khevreshaft
חבֿרותא,"khavruse, khevruse"
חבֿרטע,khaverte
חבֿריש,khaverish
חבֿרשאַפֿט,khavershaft
חד־גדיא,khadgadye
חדר,kheyder
חודש,khoydesh
חול המועד,khalemoyed
חול־המועד,khalemoyed
חומש,khumesh
חופּה,khupe
חוצפּה,khutspe
חוצפּהדיק,khutspedik
חורבן,khurbn
חושים,khushem
חושך,khoyshekh
חזיר,khazer
חזיריש,khzirish
חזירײַ,khazeray
חזן,khazn
חזרן,khazern
חז״ל,khazal
חידוש,khidesh
חיה,khaye
חיה־רעה,khaye-roe
חיות,khiyes
חייל,khayel
חיים,khayem
חיימאָוויץ,khaymovits
חייִש,khayish
חילוק,khilek
חינוך,khinekh
חיפֿה,kheyfe
חיריק,khirek
חכם,khokhem
חכמה,khokhme
חלה,khale
חלום,kholem
חלומען,kholemen
חלילה,kholile
חלש'ן,khaleshn
חלשן,khaleshn
חמור,khamer
חמור־אײזל,Khamer-eyzl
חמץ,khomets
חן,kheyn
חנה,khane
חנוכּה,khaneke
חנוכּהדיק,khanekedik
חנעוודיק,khéynevdik
חסיד,khosid
חסידות,khsides
חסידיזם,khsidizm
חסידיש,khosidish
חסידל,khosidl
חסרון,khisorn
חפֿץ,kheyfets
חרוסת,kharoyses
חרטה,kharote
חרם,kheyrem
חשבון,kheshbn
חשובֿ,khoshev
חשוון,kheshvn
חשק,kheyshek
חתונה,khasene
חתונה האָבן,khasene hobn
חתונה־געהאַט,khasene-gehat
חתימה,khsime
חתמענען,khasmenen
חתן,khosn
חתן־כּלה,khosn-kale
־ט,-t
טאָ,to
טאַבאַק,tabak
טאָג,tog
טאָג־בוך,tog-bukh
טאָג־טעגלעך,tog-teglekh
טאָגבלאַט,togblat
טאָגצײַטונג,togtsaytung
טאָגשול,togshul
טאָוול,tovl
טאַטויִרונג,tatuirung
טאַטויִרן,tatuirn
טאַטע,tate
טאַטע־מאַמע,tate-mame
טאָכטער,tokhter
טאָל,tol
טאָמאַט,tomat
טאָן,ton
טאַנטע,tante
טאַנץ,tants
טאַנצן,tantsn
טאָפּ,top
טאָפּאָגראַפֿיע,topografye
טאָפּאָגראַפֿיש,topografish
טאָפּיעל,topyel
טאָק,tok
טאַקטיק,taktik
טאַקסי,taksi
טאַקע,take
טאָראָנטאָ,toronto
טאַראַקאַן,tarakan
טאָרט,tort
טאָרמאָז,tormoz
טאָרן,torn
טאַש,tash
טאַשנגעלט,tashngelt
טאדזשיקיסטאן,tadzshikistan
טאהש,tosh
טבֿיה,tevye
טבֿע,teve or teyve
טבֿת,teyves
טובֿלן,toyvln
טובערקולאָז,tuberkuloz
טוי,toy
טויב,toyb
טויגעניכטס,toygenikhts
טויז,toyz
טויזנט,toyznt
טויזנטסט,toyzntst
טויזנטסטל,toyzntstl
טויט,toyt
טוך,tukh
־טום,-tum
טומל,tuml
טומלדיק,tumldik
טומלער,tumler
טון,tun
טוניזיע,tunizye
טוניס,tunis
טונפֿיש,tunfish
טונקל,tunkl
טורמע,turme
טורעם,turem
טיגער,tiger
טיטוס הרשע,titus horoshe
טיטל,titl
טיי,tey
טייַער,tayer
טייג,teyg
טייגל,teygl
טייטל,teytl
טייטלבוים,teytlboym
טייטן,teytn
טייל,teyl
טיילן,teyln
טיכל,tikhl
טינט,tint
טינטפֿיש,tintfish
טיף,tif
טיפּ,tip
טיפּש,tipesh
טיפֿלע,tifle
טיפש,tipesh
טיר,tir
טיש,tish
טישטעך,tishtekh
טלית,tales
־טע,-te
טעאַטער,teater
טעאָלאָג,teolog
טעאָלאָגיע,teologye
טעאָלאָגיש,teologish
טעאָריע,teorye
טעגלעך,teglekh
טעות,toes
טעכנאָלאָגיע,tekhnologye
טעכניק,tekhnik
טעכניקער,tekhniker
טעכניש,tekhnish
טעלעגראַם,telegram
טעלעגראַמע,telegrame
טעלעגראַף,telegraf
טעלעגראַפֿירן,telegrafirn
טעלעוויזאָר,televizor
טעלעוויזיע,televizye
טעלעסקאָפּ,teleskop
טעלעפֿאָן,telefon
טעלעפֿאָנירן,telefonirn
טעלעפֿאָניש,telefonish
טעלער,teler
טעלער־לעקער,teler-leker
טעם,tam
טעמע,teme
טעמפּל,templ
טעמשוואַר,temshvar
טענה,tayne
טענהן,taynen
טענענבוים,tenenboym
טענעסי,tenesi
טענצל,tentsl
טענצער,tentser
טעפּיך,tepikh
טעפּער,teper
טעקל,tekl
טעקסאַס,teksas
טעקסעס,tekses
טעריטאָריע,teritorye
טערמאָמעטער,termometer
טערק,terk
טערקיש,terkish
טערקלטויב,terkltoyb
טערקײַ,terkay
טראָגן,trogn
טראָגעדיק,trogedik
טראַדיציאָנעל,traditsyonel
טראָטואַר,trotuar
טראַך,trakh
טראַך־טאַרעראַך,trakh-tarerakh
טראַכט,trakht
טראַכטן,trakhtn
טראַנסילוואַניע,transilvanye
טראַף,traf
טראָפּ,trop
טראָפֿיי,trofey
טראָץ דעם וואָס,trots dem vos
טראָצקיזם,trotskizm
טראָצקיסט,trotskist
טראָצקיסטיש,trotskistish
טראַקטאָר,traktor
טראָװאָגע,trovoge
טרודנע,trudne
טרויב,troyb
טרוים,troym
טרוימען,troymen
טרויעריק,troyerik
טרומייט,trumeyt
טרומפּייט,trumpeyt
טרונקן,trunkn
טרוס,trus
טרוסקאַפֿקע,trúskafke
טרופּע,trupe
טרוקן,trukn
טרייסט,treyst
טרייסטן,treystn
טרייף,treyf
טרייףֿ,treyf
טרילאָגיע,trilogye
טרינקען,trinken
טריף,treyf
טריף־פּסול,treyf-posl
טריקענען,trikenen
טרעגער,treger
טרענען,trenen
טרעפֿן,trefn
טרער,trer
טרײַ,tray
טרײַבן,traybn
טרײַען,trayen
טשאַושעסקו,tshaushesku
טשאַטשקע,tshatshke
טשאָלנט,tsholnt
טשאָקען,tshoken
טשאַרדאַש,tshardash
טשיק טשאַק,tshik-tshak
טשיקאַווע,tshikave
טשיקאַוועס,tshikaves
טשעך,tshekh
טשעכאָסלאָװאַקײַ,tshekhoslovakay
טשעכיע,tshekhye
טשעכיש,tshekhish
טשעמאָדאַן,tshemodan
טשעפּן,tshepn
טשעפּן זיך,tshepn zikh
טשעקאַ,tsheka
טשעקיסט,tshekist
טשערנאָבל,tshernobl
טשערנאָוויץ,tshernovits
טשערעפּאַכע,tsherepakhe
טשײַניק,tshaynik
טױבער־יאַש,toyber-yash
טײַבל,taybl
טײַוול,tayvl
טײַוועלע,tayvele
טײַטש,taytsh
טײַטשן,taytshn
טײַך,taykh
טײַכל,taykhl
טײַסטער,tayster
טײַער,tayer
טײַערינקע,tayerinke
יא,yo
יאָ,yo
יאָג,yog
יאַגדע,yagde
יאָגורט,yogurt
יאָגן,yogn
יאַגעדע,yagede
יאָד,yod
יאָהר,yor
יאַך,yakh
יאָלד,yold
יאָלעפּ,yolep
יאָמע,yome
יאַנואַר,yanuar
יאָנץ,yonts
יאַנקל,yankl
יאַס,yas
יאָסל,yosl
יאַפּאַן,yapan
יאַפּאַניש,yapanish
יאַפּאַנער,yapaner
יאָר,yor
יאָרהונדערט,yorhundert
יאָרטאָג,yortog
יאָרטויזנט,yortoyznt
יאַריד,yarid
יאָריק,yorik
יאַרמולקע,yarmulke
יאַרמלקע,yarmlke
יאָרצענדלינג,yortsendling
יאָרצענדליק,yortsendlik
יאָרצײַט,yortsayt
יאָרק,york
יאַשטשערקע,yashtsherke
יאָשקע,yoshke
יאָשקע פּאַנדרע,yoshke pandre
יאפאן,yapan
יאר,yor
־יג,-ig
ידיעה,yedie
יהודה,yehude
יהושע,"yehoyshue, yeshue"
יו־ען,yu-en
יוגנט,yugnt
יוגנטלעך,jugntlekh
יודיש,yudish
יוטאַ,yuta
יויך,yoykh
יולי,yuli
יום,yom
יום־טובֿ,yontev
יום־טובֿדיק,yontevdik
יום־כּיפּור,yonkiper
יונג,yung
יונגאַטש,yungatsh
יונגער־מאַן,yunger-man
יונגערהייט,yungerheyt
יונגערמאַן,yungerman
יונגװאַרג,yungvarg
יוני,yuni
יוניאָן,yunyon
יונתן,yoynesen
יוסף,"yosef, yoysef"
יופּיטער,yupiter
יופּע,yupe
־יזם,-izm
יחוס,yikhus
ייד,yid
ייִד,yid
ייִדיש,yidish
יידיש,yidish
ייִדישיזם,yidishizm
ייִדישיסט,yidishíst
ייִדישיסטיש,yidishistish
ייִדישלאַנד,yidishland
ייִדישן,yidishn
ייִדישע אויטאָנאָמע געגנט,yidishe oytonome gegnt
ייִדישע גאַס,yidishe gas
ייִדישע טאָכטער,yidishe tokhter
ייִדישער אויטאָנאָמער געגנט,yidisher oytonomer gegnt
ייִדישקייט,yidishkeyt
ייִדישקע,yidishke
ייִדל,yidl
ייִדענע,yidene
ייִוואָ,yivo
ייִנגל,yingl
ייִנגליש,yinglish
ייִנגעלע,yingele
ייִנגער,yinger
ייִראת־הכּבֿוד,yires-hakoved
יישר כּוח,yasher koyekh
יכין־ובֿועז,yokhn-evoyez
־ים,-em
ים,yam
ים סוף,yam sof
ים־שטערן,yam-shtern
ימח־שמוניק,yimakh-shmoynik
־ין,-in
יסורים,yisurem
־יסט,-íst
יעגער,yeger
יעדער,yeder
יעדער מאָנטיק און דאָנערשטיק,yeder montik un donershtik
יעווסעקציע,yevsektsye
יעל,yael
יעמאָלט,yemolt
יענטע,yente
יענער,yener
יענער בחור,yener bokher
יענץ,yents
יענצן,yentsn
יעצט,yetst
יעקבֿ,yankev
יעקע,yeke
יצחק,yitskhok
יציאת מצרים,yetsies mitsrayem
יצר הטובֿ,yeytser hatoyv
יצר הרע,yeytser hore
יצר־הטובֿ,yeytser-hatoyv
יצר־הרע,yeytser-hore
־יק,-ik
ירגזון,yirgozn
ירושה,yerushe
ירושלים,yerusholayem
ירושלים דליטע,yerusholayem dlite
ירושלים ד׳ליטע,yerusholayem d'lite
יריד,yarid
־ירן,-irn
־יש,-ish
יש,yash
ישׂראל,yisroel
ישׂראלדיק,yisroeldik
ישו,yeshu
ישיבֿה,yeshive
ישיבֿה־בחור,yeshive-bokher
ישיבֿיש,yeshivish
ישיבה,yeshive
יתום,yosem
יתומה,yesoyme
יתומל,yoseml
כאָטש,khotsh
כאַלווע,khalve
כאַליאַסטרע,khalyastre
כאָלערע,kholere
כאָסן,khosn
כאַסענע,khasene
כאַפּן,khapn
כאַפּן אַ דרעמל,khapn a dreml
כאַפּער,khaper
כאָר,khor
כּבֿוד,koved
כּבֿיכול,"kevyokhl, keviyokhl"
כּדאַי,keday
כּדי,kedey
כּהונה,kehune
כוואַט,khvat
כוואַליע,khvalye
כּוח,koyekh
כּוחדיק,koyekhdik
כּולל זײַן,koylel zayn
כּזית,kezayes
כּח,koyekh
כּל־ולך,kol-velokh
כּלבֿ,kelev
כּלבֿטע,klafte
כּלבוניק,kolboynik
כּלה,kale
כּלומרשט,kloymersht
כּלי,keyle
כּלי־זיין,klezayen
כוליגאַן,khuligan
כּלל,klal
כּלל־,klal-
כּלל־ייִדיש,klal-yidish
כּלליש,klalish
כּמעט,kimat
כּנען,knaan
כּסלו,kislev
כּעס,kas
כּשר,kosher
כּשר־לפּסח,kosher-lepeysekh
כּשרות,kashres
כּשרן,kashern
כּתבֿ,ksav
כּתובֿים,ksuvem
כּתובה,ksube
כּתר,keser
כיטרע,khitre
כינע,khine
כינעזיש,khinezish
כינעזער,khinezer
כירורג,khirurg
כירורגיע,khirurgye
כלאָפּ,khlop
כלב,keylev
כמאַרע,khmare
כניאָק,khnyok
כעלם,khelm
כעלמער,khelmer
כעלעם,khelem
כעלעמער,khelemer
כעמיע,khemye
כעמיקער,khemiker
כראַבאָנדזש,khrabondzh
כראַבינע,khrabine
כראַביע,khrabye
כראָנאָלאָגיע,khronologye
כראָפּען,khropen
כריזאַנטעמע,khrizanteme
כריין,khreyn
כרעמזל,khremzl
כרעסטאָמאַטיע,khrestomatye
כשרות,kashres
כתר,keser
כ׳,kh'
כ״,kh'
־ל,-l
לא־לנו,loy-lonu
לאַבן,labn
לאָבעס,lobes
לאָגאַריטם,logaritm
לאָגאַריטמיש,logaritmish
לאָגיק,logik
לאָגיש,logish
לאַגער,lager
לאָדזש,lodzh
לאַדינאָ,ladino
לאָדקע,lodke
לאַורעאַט,laureat
־לאָז,-loz
לאָזן,lozn
לאַטוויע,latvye
לאַטוויש,latvish
לאַטוטניק,latutnik
לאַטקע,latke
לאָך,lokh
לאַכן,lakhn
לאַם,lam
לאָמיך,lomikh
לאָמיר,lomir
לאָמפּ,lomp
לאַנג,lang
לאַנד,land
לאָנדאָן,london
לאַנדן,landn
לאַנדסמאַן,landsman
לאַנדקאַרטע,landkarte
לאָס־אַנדזשעלעס,los-andzheles
לאַפּיטוט,lapitut
לאַפּסערדאַק,lapserdak
לאָפּעטע,lopete
לאַפֿער,lafer
לאַקס,laks
לאָקש,loksh
לאָרד,lord
לאה,leye
לאמיר,lomir
לבֿ,leyv
לבֿן,lovn
לבֿנה,levone
להבֿדיל,lehavdl
להכעיס,lehakhes
לואיזיאַנאַ,luizyana
לובלין,lublin
לודקע,ludke
לוויתן,levyosn
לוח,luekh
לויב,loyb
לויבן,loybn
לויז,loyz
לויִזיאַנאַ,luizyana
לויט,loyt
לויטן,loytn
לויער,loyer
לויפֿן,loyfn
לויתן,levyosn
לולבֿ,lulev
לומדיש,lomdish
לונג,lung
לוסטיק,lustik
לופֿט,luft
לופֿטמענטש,luftmentsh
לופֿטפֿעלד,luftfeld
לוקסעמבורג,luksemburg
לותּיר,loter
לזכּרון,lezikorn
לחיים,lekhayem
ליאַלקע,lyalke
ליב,lib
ליב האָבן,lib hobn
ליביע,libye
ליבן,libn
ליבסט,libst
ליבע,libe
ליבעלע,libele
ליבשאַפֿט,libshaft
ליגן,lign
ליגנער,ligner
ליגע,lige
ליד,lid
לידערבוך,liderbukh
ליובאַוויטש,lyubavitsh
ליטא,lito
ליטאַ,lita
ליטאָ,lito
ליטוואַק,litvak
ליטווינער,litviner
ליטוויש,litvish
ליטיום,litium
ליטע,lite
ליטער,liter
ליטעראַטור,literatur
ליטעראַריש,literarish
ליטעראַרישע קריטיק,literarishe kritik
לייב,leyb
לייביכע,leybikhe
לייגן,leygn
ליידיק,leydik
לייוואָרט,leyvort
לייזער,leyzer
לייטער,leyter
ליים,leym
ליינען,leynen
לייענונג,leyenung
לייענען,leyenen
לייענער,leyener
לייקע,leyke
ליכט,likht
ליכטיק,likhtik
ליכטל,likhtl
ליכטנשטיין,likhtnshteyn
ליליע,lilye
לימאָנאַד,limonad
לימוד,limed
לימענע,limene
לינגוויסט,lingvist
לינגוויסטיק,lingvistik
לינדז,lindz
לינק,link
לינקיסט,linkist
לינקיסטיש,linkistish
לינקער,linker
ליסיצקי,lisitski
ליפּ,lip
ליפּשיץ,lipshits
ליפֿשיץ,lifshits
ליק,lik
ליריש,lirish
לכבֿוד,likhvoyd
לכּבֿוד,lekoved
למאַי,lemáy
למדן,lamdn
למען השם,leman hashem
למען־השם,"""lemanashem"""
למשל,lemoshl
לעבל,lebl
לעבן,lebn
לעבן פֿון רוחניות,lebn fun rukhnies
לעבן־געבליבענער,lebn-geblibener
לעבעדיק,lebedik
לעבער,leber
לעגענדע,legende
לעדל,ledl
לעדער,leder
לעדערן,ledern
לעוויט,levit
לעזן,lezn
לעזער,lezer
לעטיש,letish
לעטלאַנד,letland
לעטלענדיש,letlendish
־לעך,-lekh
לעמל,leml
לעמעשקע,lemeshke
לענגסט,lengst
לענגער,lenger
לענד,lend
לענדן,lendn
לענינגראַד,leningrad
לעניניזם,leninizm
לעניניסט,leninist
לעניניסטיש,leninistish
לעפּיש,lepish
לעפּל,lepl
לעפֿל,lefl
לעצט,letst
לעצטנס,letstns
לעק,lek
לעקטער,lekter
לעקן,lekn
לעקער,leker
לעקערל,lekerl
לעקציע,lektsye
לערנונג,lernung
לערנייִנגל,lernyingl
לערנען,lernen
לערער,lerer
לערערין,lererin
לפּחות,lepokhes
לץ,lets
לצעכע,leytsekhe
לשון,loshn
לשון־קודש,loshn-koydesh
לײַב,layb
לײַבל,laybl
לײַבקע,laybke
לײַוונט,layvnt
לײַוונטן,layvntn
לײַט,layt
לײַטיש,laytish
לײַכט,laykht
לײַכטן,laykhtn
לײַלאַך,laylakh
לײַען,layen
ל״ג בעומר,"la""g beoymer"
מאָביל,mobil
מאָביל טעלעפֿאָן,mobil telefon
מאָביל־טעלעפֿאָן,mobil-telefon
מאָבילקע,mobilke
מאַגאַזין,magazin
מאַגיסטראַט,magistrat
מאָגן,mogn
מאַגנאַט,magnat
מאַגנעט,magnet
מאַגנעטיש,magnetish
מאָגער,moger
מאַדזשאַר,madzhar
מאַדזשאַריש,madzharish
מאָדערן,modern
מאָדערניזם,modernizm
מאָדערניסט,modernist
מאָדערניסטיש,modernistish
מאַדריד,madrid
מאַהאַראַדזשאַ,maharadzha
מאַטאָנע,matone
מאָטאָציקל,mototsikl
מאָטאָר,motor
מאַטעמאַטיק,matematik
מאַטעריע,materye
מאַטראַץ,matrats
מאַי,may
מאַיאָנטעק,mayontek
מאַך,makh
מאָך,mokh
מאַכאָרקע,makhorke
מאַכט,makht
מאַכן,makhn
מאַכער,makher
מאָל,mol
מאָלדאַווע,moldave
מאָלן,moln
מאָלעקול,molekul
מאָלער,moler
מאָלערײַ,moleray
מאַלפּע,malpe
מאָלצײַט,moltsayt
מאַמינקע,maminke
מאַמע,mame
מאַמע־לשון,mame-loshn
מאַמעלע,mamele
מאַמען,mamen
מאָמענט,moment
מאַמעניו,mamenyu
מאַמעשי,mameshi
מאַן,man
מאָנאַט,monat
מאָנאָלאָג,monolog
מאָנאָפּאָל,monopol
מאָנאַקאָ,monako
מאַנגאָ,mango
מאַנגאַן,mangan
מאַנגאַנעז,manganez
מאַנדאַט,mandat
מאַנדאָלינע,mandoline
מאַנדל,mandl
מאַנדלאַך,mandlakh
מאַנדלבוים,mandlboym
מאַנדלבראָט,mandlbrot
מאַנדלעך,mandlekh
מאַנהעטן,manhetn
מאַנוסקריפּט,manuskript
מאָנטאַנאַ,montana
מאָנטיק,montik
מאָנטרעאַל,montreal
מאָנטרעאָל,montreol
מאַנטשעסטער,mantshester
מאַני,mani
מאָניזם,monizm
מאָניסט,monist
מאַנסביל,mansbil
מאַנספּאַרשוין,mansparshoyn
מאָס,mos
מאַסאַטשוסעטס,masatshusets
מאַסלינע,masline
מאָסקווע,moskve
מאָסקווער,moskver
מאָפֿן,mofn
מאָפן,mufn
מאָראַל,moral
מאָראַליש,moralish
מאַראַנץ,marants
מאַראָקאָ,maroko
מאָרגן,morgn
מאָרגנשטערן,morgnshtern
מאָרדע,morde
מאַרטינעז,martinez
מאַרך,markh
מאַרמאַלאַד,marmalad
מאַרמאָלאַד,marmolad
מאַרמאָר,marmor
מאַרמעלאַד,marmelad
מאַרמער,marmer
מאַרס,mars
מאַרץ,marts
מאַרק,mark
מאַרקס,Marks
מאַרקסיזם,marksizm
מאַרקסיזם־לעניניזם,marksizm-leninizm
מאַרקסיסט,marksist
מאַרקסיסטיש,marksistish
מאַרש,marsh
מאַשין,mashin
מאדים,madim
מאיר,meyer
מאכל,maykhl
מאכן,makhn
מאמר,maymer
מבֿטל זײַן,mevatl zayn
מבֿין,meyvn
מגילה,megile
מגנצא,megntze
מגפה,mgeife
מדבר,midber
מדינה,medine
מדינה־פֿירער,medine-firer
מדינת־ישׂראל,medines-yisroel
מדרגה,madreyge
מדרש,medrash
מה־דאָך,madekh
מודה זײַן,moyde zayn
מוהל,moyel
מוות,moves
מוזיי,muzey
מוזיק,muzik
מוזיקער,muziker
מוזן,muzn
מוח,moyekh
מוט,mut
מוטיק,mutik
מוטער,muter
מוטער־צייכן,muter-tseykhn
מוטער־שפּראַך,muter-shprakh
מוטערטראַכט,mutertrakht
מוטערלאַנד,muterland
מוטערלעך,muterlekh
מוטערשייד,mutersheyd
מוטערשפּראַך,mutershprakh
מויד,moyd
מויז,moyz
מויל,moyl
מוכר־ספֿרים,moykher-sforim
מומע,mume
מוניציפּאַליטעט,munitsipalitet
מוסולמאַן,musulman
מוסקל,muskl
מורא,moyre
מורא האָבן,moyre hobn
מוראַשקע,murashke
מזוזה,mezuze
מזל,mazl
מזל טוב,mazl-tov
מזל טובֿ,mazl tov
מזל־טובֿ,mazl-tov
מזלדיק,mazldik
מזרח,mizrekh
מחבר,mekhaber
מחויבֿ,mekhuyev
מחותּן,mekhutn
מחותּנישאַפֿט,mekhutonishaft
מחותּנתטע,mekhuteneste
מחיה,mekháye
מחלוקת,makhloykes
מטבע,matbeye
מי־יודע,miyedeye
מי־שברך,mi-shebeyrekh
מיאַוקען,myauken
מיאַטע,myate
מיאוס,mies
מיאוסקייט,mieskeyt
מיגלעך,miglekh
מיד,mid
מידקײט,midkeyt
מיזורי,mizuri
מיזרחדיק,mizrekhdik
מיט,mit
מיט אַ מאָל,mit a mol
מיטאָס,mitos
מיטאַרבעטן,mitarbetn
מיטגיין,mitgeyn
מיטגלידער,mitglider
מיטה,mite
מיטוואָך,mitvokh
מיטל,mitl
מיטלהויכדײַטש,mitlhoykhdaytsh
מיטלשול,mitlshul
מיטן,mitn
מיידל,meydl
מיידליש,meydlish
מיידלישער נאָמען,meydlisher nomen
מיידעלע,meydele
מיין,meyn
מיינונג,meynung
מיינען,meynen
מיך,mikh
מיכאל,Mikhoel
מילגרוים,milgroym
מילה,mile
מילי־,mili-
מיליאָן,milyon
מיליאָנער,milyoner
מיליאַרד,milyard
מיליגראַם,miligram
מיליטאַנט,militant
מיליטער,militer
מיליטעריש,militerish
מיליליטער,mililiter
מילימעטער,milimeter
מילך,milkh
מילכיגער,milkhiger
מילכיק,milkhik
מילכיקער,milkiker
מילעך,milekh
מילער,miler
מין,min
מינאַרעט,minaret
מינדערהייט,minderheyt
מינוט,minut
מינוס,minus
מיניסטער,minister
מינכן,minkhn
מינסק,minsk
מינסקער,minsker
מינעסאָטאַ,minesota
מינעראַל־וואַסער,mineral-vaser
מינץ,mints
מיסורי,misuri
מיסטיציזם,mistitsizm
מיסיסיפּי,misisipi
מיענטע,myente
מיקראָפֿילם,mikrofilm
מיר,mir
מירמל,mirml
מישיגאַן,mishigan
מישיגן,mishign
מישיגען,mishigen
מישכּבֿ־זכר,míshkev zókher
מישנה,mishne
מישניש,mishnish
מישפּאָכע,mishpokhe
מישפּטן,mishpetn
מכּבי,makabi
מכּבייער,makabeyer
מכּה,make
מכשיר,makhsher
מכשף,mekhashef
מלאָכה,melokhe
מלאך,malekh
מלאך־המות,malakhamoves
מלאכה,melokhe
מלוכה,melukhe
מלוכהש,melukhish
מלחמה,milkhome
מלך,meylekh
מלך סאַבעצקיס יאָרן,meylekh sabetskis yorn
מלך סאָבעצקיס יאָרן,meylekh sobetskis yorn
מלך סאַבעצקיס צײַטן,meylekh sabetskis tsaytn
מלך סאָבעצקיס צײַטן,meylekh sobetskis tsaytn
מלך סאַבעצקעס יאָרן,meylekh sabetskes yorn
מלכה,malke
מלכּה,malke
מלמד,melamed
ממזר,mamzer
ממיתן,meymesn
ממלא־מקום זײַן,memale-mokem zayn
ממש,mamesh
ממשלה,memshole
מן,man
מן־הסתּם,minastam
מנגן,m'nagen
מנהג,mineg
מנורה,mnoyre
מנחה,minkhe
מנין,minyen
מסוכּן,mesúkn
מסוכּן קראַנק,mesukn krank
מסורה,mesoyre
מסירה,mesire
מסכּים,maskem
מסכּים זײַן,maskem zayn
מסכתא,mesekhte
מסכתּא,mesekhte
מספּר,misper
מסתּמא,"mistame, mistome"
מע,me
מעבל,mebl
מעגלעך,meglekh
מעגן,megn
מעדיקאַמענט,medikament
מעהל,mehl
מעות חטים,moes khitem
מעטאָד,metod
מעטאָדיסט,metodist
מעטאָדיסטיש,metodistish
מעטאָדיק,metodik
מעטאָדיש,metodish
מעטאָדע,metode
מעטאַפֿיזיק,metafizik
מעטעאָראָלאָגיע,meteorologye
מעטער,meter
מעטראָ,metro
מעטשעט,metshet
מעין,meyn
מעכאַניקער,mekhaniker
מעכאַניש,mekhanish
מעכטיג,mekhtig
מעכטיק,mekhtik
מעל,mel
מעלאָן,melon
מעלה,mayle
מעמואַרן,memuarn
מען,men
מענדל,mendl
מענטש,mentsh
מענטשהייט,mentshheyt
מענטשלעך,mentshlekh
מענלעך,menlekh
מעסטן,mestn
מעסער,meser
מעקלער,mekler
מעקסיקאָ,meksiko
מעקסיקע,Meksike
מער,mer
מער אָדער ווייניקער,mer oder veyniker
מער ווייניקער,mer veyniker
מערב,mayrev
מערבֿ,mayrev
מערבֿדיק,mayrevdik
מערהייט,merheyt
מערילאַנד,meriland
מערכה,marokhe
מערצאָל,mertsol
מערקור,merkur
מעש,mesh
מעשׂה,mayse/manse
מעשה,mayse/manse
מפֿטיר,mafter
מצב,matsev
מצבֿה,matseyve
מצה,matse
מצה ברײַ,matse bray
מציאה,metsiye
מציאה פֿון אַ גנבֿ,metsiye fun a ganef
מציל זײַן,matsl zayn
מצרים,mitsrayem
מקווה,mikve
מקום,mokem
מקום־תּורה,Mokem-Toyre
מרדכי,mordkhe
משׂא־מתּן,masematn
משׂכּיל,maskil
משׂכּיליש,maskilish
משה,moyshe
משה גרויסע,Moyshe groyse
משה רבינו,moyshe rabeynu
משה־מורשה,moyshe-moyroshe
משוגע,meshuge
משוגעדיק,meshugedik
משוגעים,meshugoim
משוגענע,meshugene
משוגענער,meshugener
משוגעת,meshugas
משיח,moshiyekh
משך,meshekh
משל,moshl
משמעות,mashmoes
משנה,mishne
משפּחה,mishpokhe
משפּחהדיק,mishpokhedik
משפּטן,mishpetn
משפחה,mishpokhe
משקה,mashke
מת,meys
מתּן־תּורה,matn-toyre
מתּנה,matone
מתמיד,másmed
מתנגד,misnaged
מײַ,may
מײַל,mayl
מײַן,mayn
מײַסטער,mayster
מ׳,m'
־ן,-n
נאַ,na
נאַגאַן,nagan
נאָגל,nogl
נאָדל,nodl
נאַהיט,nahit
נאָוועמבער,november
נאָז,noz
נאָזלאָך,nozlokh
נאַטור,natur
נאָך,nokh
נאָך אַ מאָל,nokh a mol
נאָך דעם וואָס,nokh dem vos
נאָך דעם ווי,nokh dem vi
נאָכאַמאָל,nokhamol
נאַכט,nakht
נאַכטהעמד,nakhthemd
נאַכטיק,nakhtik
נאָכלויפֿער,nokhloyfer
נאָכן,nokhn
נאָמען,nomen
נאַס,nas
נאָס,nos
נאָענט,noent
נאַצי,natsi
נאַציאָנאַל,natsyonal
נאַציאָנאַל־סאָציאַליזם,natsyonal-sotsyalizm
נאַציאָנאַליזם,natsyonalizm
